wallet,birth_year,salary,contribution_rate,retirement_age,sex,opening_contribution
0xA001,1962,62000,0.10,65,M,15000
0xA002,1963,71000,0.10,65,F,18500
0xA003,1965,58000,0.10,65,M,14000
0xA004,1968,49500,0.08,67,F,9500
0xA005,1970,55000,0.09,65,M,12000
0xA006,1972,63000,0.10,65,F,13500
0xA007,1975,48000,0.08,67,M,8000
0xA008,1978,52000,0.09,67,F,9000
0xA009,1980,44000,0.08,67,M,6000
0xA010,1983,46500,0.08,67,F,5200
0xA011,1986,51000,0.10,65,M,4800
0xA012,1988,55000,0.10,65,F,4200
0xA013,1990,42000,0.08,67,M,3100
0xA014,1992,38000,0.07,67,F,2300
0xA015,1995,36000,0.07,67,M,1400
0xA016,1959,68000,0.11,65,F,21000
0xA017,1966,60500,0.09,65,M,11800
0xA018,1974,47000,0.08,67,F,7600
0xA019,1984,49500,0.09,67,M,5100
0xA020,1998,34000,0.07,68,F,900
0xA021,1961,64500,0.10,65,M,17200
0xA022,1969,51500,0.09,66,F,9800
0xA023,1977,45500,0.08,67,M,6900
0xA024,1989,57500,0.10,65,F,4700
0xA025,1999,33000,0.06,68,M,700
